Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017,HDI
Comoros,COM,71.216,99.1399993896484,70.3922622246104,35.4648038688877,-10000.0,0.1,273.0,67.9,35.0,71.216,56.42,,0.344026835557745,20.5468245996681,3919473.02500831,5.1,65.351,32.8489990234375,55.6889991760254,4.275,91.0,,57.6137866,4.91466905847227,,6.06060606060606,16.0,16.0,,3.84,437.340139709833,0.552
Costa Rica,CRI,21.44,105.75,34.8511555033294,4.92557775166471,21000.0,0.3,27.0,8.7,9.6,21.44,36.2,,1.66870208494458,15.7259203021082,2924906990.98245,64.25,53.46,43.9990005493164,72.5999984741211,1.772,96.0,3.1,178.5944273,1161.4246998205,0.0,35.0877192982456,22.5,22.5,19.0,496.72,96.9438895417156,0.808
Cuba,CUB,23.023,103.900001525879,60.6936416184971,28.0211946050096,-72000.0,0.4,36.0,5.4,7.2,23.023,22.0,,2.31408498804535,19.7060474004201,,,51.592,42.234001159668,70.2720031738281,1.637,99.0,2.5,40.68858498,8.46616466425704,2.87240323946139,48.8562091503268,,,29.0,1117.6,109.241377649326,0.781
Cyprus,CYP,33.164,104.0,13.1406926406926,10.2088744588745,25000.0,,6.0,2.8,5.1,33.164,11.03,,6.23895373215257,17.2944061994662,14406568776.0425,48.52,4.582,56.6459999084473,66.6650009155273,1.337,97.0,2.5,136.1722981,17363.9573275917,1.58311130576663,17.8571428571429,6.0,6.0,8.0,1193.38,127.671536796537,0.885
Czech Republic,CZE,26.325,94.9499969482422,45.6029011786038,32.327418728144,110057.0,,3.0,3.2,5.4,26.325,14.46,,9.61164734090237,16.0712453523646,11234740946.0941,55.64,11.972,52.2939987182617,68.5449981689453,1.69,96.0,2.5,118.7512323,25419.9420488373,0.956655421726352,22.0,24.5,24.5,794.0,16782.25,137.21587877218,0.898
Germany,DEU,22.739,97.5,47.7631164667831,33.694936600166,2719112.0,0.1,7.0,3.9,7.4,22.739,15.22,,8.85829384674551,12.028767360745,109505815446.82,129.53,8.095,55.9269981384277,66.7239990234375,1.57,93.0,2.5,132.7148699,34181.2784354313,1.15404940702975,30.7475317348378,8.0,8.0,47785.0,107803.17,236.588722557747,0.946
Djibouti,DJI,22.352,122.849998474121,73.4253666954271,0.0862812769628991,4501.0,1.0,248.0,61.8,272.0,22.352,24.13,,0.44486811448679,45.5496175977411,164929861.974668,12.1,18.841,17.6030006408691,45.4420013427734,2.785,76.0,16.4,39.51407638,22.2434064188116,,10.7692307692308,14.0,14.0,,5.13,40.7290767903365,0.518
Dominica,DMA,29.819,99.6600036621094,33.3333333333333,8.0,,,,33.5,1.6,29.819,9.84,,2.37895328558829,19.4931537608634,22677207.693769,36.28,,,,,91.0,5.3,105.2786252,6968.93366918556,,25.0,12.0,12.0,,12.5,95.28,0.738
Denmark,DNK,12.243,102.110000610352,65.782225,59.258875,75998.0,0.1,4.0,4.0,5.1,12.243,35.2,,5.74676773694188,10.0296534385694,3607276299.51791,49.17,4.123,57.6129989624023,65.9229965209961,1.75,98.0,2.5,124.5728833,43757.82743392,1.13823325447046,37.4301675977654,3.5,3.5,1490.0,14345.19,144.1245,0.939
Dominican Republic,DOM,19.723,107.889999389648,50.2794452494308,18.1535913889464,-150000.0,0.9,95.0,34.9,46.0,19.723,16.87,,2.24005998196542,13.726321150433,3597900000.0,39.37,94.26,48.9599990844727,75.9820022583008,2.367,84.0,6.4,83.41139781,98.1631412433484,0.6660634439633,26.8421052631579,16.5,16.5,20.0,54.06,217.617698199131,0.751
Algeria,DZA,27.948,103.269996643066,17.3550108093197,3.13670004421136,-50002.0,0.1,112.0,24.3,70.0,27.948,0.14,,3.82563798779582,38.8840106983002,1230243450.87889,9.13,10.071,16.8190002441406,66.5739974975586,3.045,91.0,2.7,110.7672465,63.3257382715586,5.92438332688534,25.7575757575758,18.0,18.0,149.0,5201.61,17.3776972391205,0.746
Ecuador,ECU,36.33,93.2099990844727,22.507650185215,4.15928490900306,182000.0,0.3,59.0,14.4,43.0,36.33,17.05,,2.29664472037772,14.8861006610676,629542412.259198,33.56,79.261,56.1549987792969,80.3280029296875,2.451,85.0,10.7,87.28679711,209.944906738946,2.36126338358467,37.956204379562,48.5,48.5,16.0,1604.01,67.5847801578354,0.762
